home_team,away_team,home_goals,away_goals,result,season
Man City,Watford,2,0,H,2016-2017
Stoke,Southampton,0,0,D,2016-2017
Tottenham,Hull,3,0,H,2016-2017
West Brom,Swansea,3,1,H,2016-2017
Crystal Palace,Chelsea,0,1,A,2016-2017
Middlesbrough,Swansea,3,0,H,2016-2017
Stoke,Leicester,2,2,D,2016-2017
Sunderland,Watford,1,0,H,2016-2017
West Ham,Hull,1,0,H,2016-2017
West Brom,Man United,0,2,A,2016-2017
Bournemouth,Southampton,1,3,A,2016-2017
Man City,Arsenal,2,1,H,2016-2017
Tottenham,Burnley,2,1,H,2016-2017
Everton,Liverpool,0,1,A,2016-2017
Watford,Crystal Palace,1,1,D,2016-2017
Arsenal,West Brom,1,0,H,2016-2017
Burnley,Middlesbrough,1,0,H,2016-2017
Chelsea,Bournemouth,3,0,H,2016-2017
Leicester,Everton,0,2,A,2016-2017
Man United,Sunderland,3,1,H,2016-2017
Swansea,West Ham,1,4,A,2016-2017
Hull,Man City,0,3,A,2016-2017
Liverpool,Stoke,4,1,H,2016-2017
Southampton,Tottenham,1,4,A,2016-2017
Hull,Everton,2,2,D,2016-2017
Burnley,Sunderland,4,1,H,2016-2017
Chelsea,Stoke,4,2,H,2016-2017
Leicester,West Ham,1,0,H,2016-2017
Man United,Middlesbrough,2,1,H,2016-2017
Southampton,West Brom,1,2,A,2016-2017
Swansea,Bournemouth,0,3,A,2016-2017
Liverpool,Man City,1,0,H,2016-2017
Watford,Tottenham,1,4,A,2016-2017
Arsenal,Crystal Palace,2,0,H,2016-2017
Middlesbrough,Leicester,0,0,D,2016-2017
Everton,Southampton,3,0,H,2016-2017
Man City,Burnley,2,1,H,2016-2017
Sunderland,Liverpool,2,2,D,2016-2017
West Brom,Hull,3,1,H,2016-2017
West Ham,Man United,0,2,A,2016-2017
Bournemouth,Arsenal,3,3,D,2016-2017
Crystal Palace,Swansea,1,2,A,2016-2017
Stoke,Watford,2,0,H,2016-2017
Tottenham,Chelsea,2,0,H,2016-2017
Tottenham,West Brom,4,0,H,2016-2017
Burnley,Southampton,1,0,H,2016-2017
Hull,Bournemouth,3,1,H,2016-2017
Sunderland,Stoke,1,3,A,2016-2017
Swansea,Arsenal,0,4,A,2016-2017
Watford,Middlesbrough,0,0,D,2016-2017
West Ham,Crystal Palace,3,0,H,2016-2017
Leicester,Chelsea,0,3,A,2016-2017
Everton,Man City,4,0,H,2016-2017
Man United,Liverpool,1,1,D,2016-2017
Liverpool,Swansea,2,3,A,2016-2017
Bournemouth,Watford,2,2,D,2016-2017
Crystal Palace,Everton,0,1,A,2016-2017
Middlesbrough,West Ham,1,3,A,2016-2017
Stoke,Man United,1,1,D,2016-2017
West Brom,Sunderland,2,0,H,2016-2017
Man City,Tottenham,2,2,D,2016-2017
Southampton,Leicester,3,0,H,2016-2017
Arsenal,Burnley,2,1,H,2016-2017
Chelsea,Hull,2,0,H,2016-2017
Arsenal,Watford,1,2,A,2016-2017
Bournemouth,Crystal Palace,0,2,A,2016-2017
Burnley,Leicester,1,0,H,2016-2017
Middlesbrough,West Brom,1,1,D,2016-2017
Sunderland,Tottenham,0,0,D,2016-2017
Swansea,Southampton,2,1,H,2016-2017
Liverpool,Chelsea,1,1,D,2016-2017
West Ham,Man City,0,4,A,2016-2017
Man United,Hull,0,0,D,2016-2017
Stoke,Everton,1,1,D,2016-2017
Chelsea,Arsenal,3,1,H,2016-2017
Crystal Palace,Sunderland,0,4,A,2016-2017
Everton,Bournemouth,6,3,H,2016-2017
Hull,Liverpool,2,0,H,2016-2017
Southampton,West Ham,1,3,A,2016-2017
Watford,Burnley,2,1,H,2016-2017
West Brom,Stoke,1,0,H,2016-2017
Tottenham,Middlesbrough,1,0,H,2016-2017
Man City,Swansea,2,1,H,2016-2017
Leicester,Man United,0,3,A,2016-2017
Arsenal,Hull,2,0,H,2016-2017
Man United,Watford,2,0,H,2016-2017
Middlesbrough,Everton,0,0,D,2016-2017
Stoke,Crystal Palace,1,0,H,2016-2017
Sunderland,Southampton,0,4,A,2016-2017
West Ham,West Brom,2,2,D,2016-2017
Liverpool,Tottenham,2,0,H,2016-2017
Burnley,Chelsea,1,1,D,2016-2017
Swansea,Leicester,2,0,H,2016-2017
Bournemouth,Man City,0,2,A,2016-2017
Chelsea,Swansea,3,1,H,2016-2017
Crystal Palace,Middlesbrough,1,0,H,2016-2017
Everton,Sunderland,2,0,H,2016-2017
Hull,Burnley,1,1,D,2016-2017
West Brom,Bournemouth,2,1,H,2016-2017
Watford,West Ham,1,1,D,2016-2017
Tottenham,Stoke,4,0,H,2016-2017
Leicester,Liverpool,3,1,H,2016-2017
Man United,Bournemouth,1,1,D,2016-2017
Leicester,Hull,3,1,H,2016-2017
Stoke,Middlesbrough,2,0,H,2016-2017
Swansea,Burnley,3,2,H,2016-2017
Watford,Southampton,3,4,A,2016-2017
West Brom,Crystal Palace,0,2,A,2016-2017
Liverpool,Arsenal,3,1,H,2016-2017
Tottenham,Everton,3,2,H,2016-2017
Sunderland,Man City,0,2,A,2016-2017
West Ham,Chelsea,1,2,A,2016-2017
Man City,Stoke,0,0,D,2016-2017
Bournemouth,West Ham,3,2,H,2016-2017
Everton,West Brom,3,0,H,2016-2017
Hull,Swansea,2,1,H,2016-2017
Liverpool,Burnley,2,1,H,2016-2017
West Brom,Arsenal,3,1,H,2016-2017
Crystal Palace,Watford,1,0,H,2016-2017
Everton,Hull,4,0,H,2016-2017
Stoke,Chelsea,1,2,A,2016-2017
Sunderland,Burnley,0,0,D,2016-2017
West Ham,Leicester,2,3,A,2016-2017
Bournemouth,Swansea,2,0,H,2016-2017
Middlesbrough,Man United,1,3,A,2016-2017
Tottenham,Southampton,2,1,H,2016-2017
Man City,Liverpool,1,1,D,2016-2017
Liverpool,Everton,3,1,H,2016-2017
Burnley,Tottenham,0,2,A,2016-2017
Chelsea,Crystal Palace,1,2,A,2016-2017
Hull,West Ham,2,1,H,2016-2017
Leicester,Stoke,2,0,H,2016-2017
Man United,West Brom,0,0,D,2016-2017
Watford,Sunderland,1,0,H,2016-2017
Southampton,Bournemouth,0,0,D,2016-2017
Swansea,Middlesbrough,0,0,D,2016-2017
Arsenal,Man City,2,2,D,2016-2017
Burnley,Stoke,1,0,H,2016-2017
Leicester,Sunderland,2,0,H,2016-2017
Watford,West Brom,2,0,H,2016-2017
Man United,Everton,1,1,D,2016-2017
Arsenal,West Ham,3,0,H,2016-2017
Hull,Middlesbrough,4,2,H,2016-2017
Southampton,Crystal Palace,3,1,H,2016-2017
Swansea,Tottenham,1,3,A,2016-2017
Chelsea,Man City,2,1,H,2016-2017
Liverpool,Bournemouth,2,2,D,2016-2017
Tottenham,Watford,4,0,H,2016-2017
Man City,Hull,3,1,H,2016-2017
Middlesbrough,Burnley,0,0,D,2016-2017
Stoke,Liverpool,1,2,A,2016-2017
West Brom,Southampton,0,1,A,2016-2017
West Ham,Swansea,1,0,H,2016-2017
Bournemouth,Chelsea,1,3,A,2016-2017
Sunderland,Man United,0,3,A,2016-2017
Everton,Leicester,4,2,H,2016-2017
Crystal Palace,Arsenal,3,0,H,2016-2017
Tottenham,Bournemouth,4,0,H,2016-2017
Crystal Palace,Leicester,2,2,D,2016-2017
Everton,Burnley,3,1,H,2016-2017
Stoke,Hull,3,1,H,2016-2017
Sunderland,West Ham,2,2,D,2016-2017
Watford,Swansea,1,0,H,2016-2017
Southampton,Man City,0,3,A,2016-2017
West Brom,Liverpool,0,1,A,2016-2017
Man United,Chelsea,2,0,H,2016-2017
Middlesbrough,Arsenal,1,2,A,2016-2017
Bournemouth,Middlesbrough,4,0,H,2016-2017
Hull,Watford,2,0,H,2016-2017
Swansea,Stoke,2,0,H,2016-2017
West Ham,Everton,0,0,D,2016-2017
Burnley,Man United,0,2,A,2016-2017
Liverpool,Crystal Palace,1,2,A,2016-2017
Chelsea,Southampton,4,2,H,2016-2017
Arsenal,Leicester,1,0,H,2016-2017
Middlesbrough,Sunderland,1,0,H,2016-2017
Crystal Palace,Tottenham,0,1,A,2016-2017
Man City,Man United,0,0,D,2016-2017
Southampton,Hull,0,0,D,2016-2017
Stoke,West Ham,0,0,D,2016-2017
Sunderland,Bournemouth,0,1,A,2016-2017
West Brom,Leicester,0,1,A,2016-2017
Crystal Palace,Burnley,0,2,A,2016-2017
Man United,Swansea,1,1,D,2016-2017
Everton,Chelsea,0,3,A,2016-2017
Middlesbrough,Man City,2,2,D,2016-2017
Tottenham,Arsenal,2,0,H,2016-2017
Watford,Liverpool,0,1,A,2016-2017
West Ham,Tottenham,1,0,H,2016-2017
Man City,Crystal Palace,5,0,H,2016-2017
Bournemouth,Stoke,2,2,D,2016-2017
Burnley,West Brom,2,2,D,2016-2017
Hull,Sunderland,0,2,A,2016-2017
Leicester,Watford,3,0,H,2016-2017
Swansea,Everton,1,0,H,2016-2017
Liverpool,Southampton,0,0,D,2016-2017
Arsenal,Man United,2,0,H,2016-2017
Chelsea,Middlesbrough,3,0,H,2016-2017
Southampton,Arsenal,0,2,A,2016-2017
Everton,Watford,1,0,H,2016-2017
West Brom,Chelsea,0,1,A,2016-2017
Man City,Leicester,2,1,H,2016-2017
Bournemouth,Burnley,2,1,H,2016-2017
Middlesbrough,Southampton,1,2,A,2016-2017
Sunderland,Swansea,0,2,A,2016-2017
Stoke,Arsenal,1,4,A,2016-2017
Crystal Palace,Hull,4,0,H,2016-2017
West Ham,Liverpool,0,4,A,2016-2017
Tottenham,Man United,2,1,H,2016-2017
Chelsea,Watford,4,3,H,2016-2017
Arsenal,Sunderland,2,0,H,2016-2017
Man City,West Brom,3,1,H,2016-2017
Southampton,Man United,0,0,D,2016-2017
Leicester,Tottenham,1,6,A,2016-2017
Arsenal,Everton,3,1,H,2016-2017
Burnley,West Ham,1,2,A,2016-2017
Chelsea,Sunderland,5,1,H,2016-2017
Hull,Tottenham,1,7,A,2016-2017
Leicester,Bournemouth,1,1,D,2016-2017
Liverpool,Middlesbrough,3,0,H,2016-2017
Man United,Crystal Palace,2,0,H,2016-2017
Southampton,Stoke,0,1,A,2016-2017
Swansea,West Brom,2,1,H,2016-2017
Watford,Man City,0,5,A,2016-2017
Arsenal,Leicester,4,3,H,2017-2018
Watford,Liverpool,3,3,D,2017-2018
Chelsea,Burnley,2,3,A,2017-2018
Crystal Palace,Huddersfield,0,3,A,2017-2018
Everton,Stoke,1,0,H,2017-2018
Southampton,Swansea,0,0,D,2017-2018
West Brom,Bournemouth,1,0,H,2017-2018
Brighton,Man City,0,2,A,2017-2018
Newcastle,Tottenham,0,2,A,2017-2018
Man United,West Ham,4,0,H,2017-2018
Swansea,Man United,0,4,A,2017-2018
Bournemouth,Watford,0,2,A,2017-2018
Burnley,West Brom,0,1,A,2017-2018
Leicester,Brighton,2,0,H,2017-2018
Liverpool,Crystal Palace,1,0,H,2017-2018
Southampton,West Ham,3,2,H,2017-2018
Stoke,Arsenal,1,0,H,2017-2018
Huddersfield,Newcastle,1,0,H,2017-2018
Tottenham,Chelsea,1,2,A,2017-2018
Man City,Everton,1,1,D,2017-2018
Bournemouth,Man City,1,2,A,2017-2018
Crystal Palace,Swansea,0,2,A,2017-2018
Huddersfield,Southampton,0,0,D,2017-2018
Newcastle,West Ham,3,0,H,2017-2018
Watford,Brighton,0,0,D,2017-2018
Man United,Leicester,2,0,H,2017-2018
Chelsea,Everton,2,0,H,2017-2018
West Brom,Stoke,1,1,D,2017-2018
Liverpool,Arsenal,4,0,H,2017-2018
Tottenham,Burnley,1,1,D,2017-2018
Man City,Liverpool,5,0,H,2017-2018
Arsenal,Bournemouth,3,0,H,2017-2018
Brighton,West Brom,3,1,H,2017-2018
Everton,Tottenham,0,3,A,2017-2018
Leicester,Chelsea,1,2,A,2017-2018
Southampton,Watford,0,2,A,2017-2018
Stoke,Man United,2,2,D,2017-2018
Burnley,Crystal Palace,1,0,H,2017-2018
Swansea,Newcastle,0,1,A,2017-2018
West Ham,Huddersfield,2,0,H,2017-2018
Bournemouth,Brighton,2,1,H,2017-2018
Crystal Palace,Southampton,0,1,A,2017-2018
Huddersfield,Leicester,1,1,D,2017-2018
Liverpool,Burnley,1,1,D,2017-2018
Newcastle,Stoke,2,1,H,2017-2018
Watford,Man City,0,6,A,2017-2018
West Brom,West Ham,0,0,D,2017-2018
Tottenham,Swansea,0,0,D,2017-2018
Chelsea,Arsenal,0,0,D,2017-2018
Man United,Everton,4,0,H,2017-2018
West Ham,Tottenham,2,3,A,2017-2018
Burnley,Huddersfield,0,0,D,2017-2018
Everton,Bournemouth,2,1,H,2017-2018
Man City,Crystal Palace,5,0,H,2017-2018
Southampton,Man United,0,1,A,2017-2018
Stoke,Chelsea,0,4,A,2017-2018
Swansea,Watford,1,2,A,2017-2018
Leicester,Liverpool,2,3,A,2017-2018
Brighton,Newcastle,1,0,H,2017-2018
Arsenal,West Brom,2,0,H,2017-2018
Huddersfield,Tottenham,0,4,A,2017-2018
Bournemouth,Leicester,0,0,D,2017-2018
Man United,Crystal Palace,4,0,H,2017-2018
Stoke,Southampton,2,1,H,2017-2018
West Brom,Watford,2,2,D,2017-2018
West Ham,Swansea,1,0,H,2017-2018
Chelsea,Man City,0,1,A,2017-2018
Arsenal,Brighton,2,0,H,2017-2018
Everton,Burnley,0,1,A,2017-2018
Newcastle,Liverpool,1,1,D,2017-2018
Liverpool,Man United,0,0,D,2017-2018
Burnley,West Ham,1,1,D,2017-2018
Crystal Palace,Chelsea,2,1,H,2017-2018
Man City,Stoke,7,2,H,2017-2018
Swansea,Huddersfield,2,0,H,2017-2018
Tottenham,Bournemouth,1,0,H,2017-2018
Watford,Arsenal,2,1,H,2017-2018
Brighton,Everton,1,1,D,2017-2018
Southampton,Newcastle,2,2,D,2017-2018
Leicester,West Brom,1,1,D,2017-2018
West Ham,Brighton,0,3,A,2017-2018
Chelsea,Watford,4,2,H,2017-2018
Huddersfield,Man United,2,1,H,2017-2018
Man City,Burnley,3,0,H,2017-2018
Newcastle,Crystal Palace,1,0,H,2017-2018
Stoke,Bournemouth,1,2,A,2017-2018
Swansea,Leicester,1,2,A,2017-2018
Southampton,West Brom,1,0,H,2017-2018
Everton,Arsenal,2,5,A,2017-2018
Tottenham,Liverpool,4,1,H,2017-2018
Man United,Tottenham,1,0,H,2017-2018
Arsenal,Swansea,2,1,H,2017-2018
Crystal Palace,West Ham,2,2,D,2017-2018
Liverpool,Huddersfield,3,0,H,2017-2018
Watford,Stoke,0,1,A,2017-2018
West Brom,Man City,2,3,A,2017-2018
Bournemouth,Chelsea,0,1,A,2017-2018
Brighton,Southampton,1,1,D,2017-2018
Leicester,Everton,2,0,H,2017-2018
Burnley,Newcastle,1,0,H,2017-2018
Stoke,Leicester,2,2,D,2017-2018
Huddersfield,West Brom,1,0,H,2017-2018
Newcastle,Bournemouth,0,1,A,2017-2018
Southampton,Burnley,0,1,A,2017-2018
Swansea,Brighton,0,1,A,2017-2018
West Ham,Liverpool,1,4,A,2017-2018
Tottenham,Crystal Palace,1,0,H,2017-2018
Man City,Arsenal,3,1,H,2017-2018
Chelsea,Man United,1,0,H,2017-2018
Everton,Watford,3,2,H,2017-2018
Arsenal,Tottenham,2,0,H,2017-2018
Bournemouth,Huddersfield,4,0,H,2017-2018
Burnley,Swansea,2,0,H,2017-2018
Crystal Palace,Everton,2,2,D,2017-2018
Leicester,Man City,0,2,A,2017-2018
Liverpool,Southampton,3,0,H,2017-2018
West Brom,Chelsea,0,4,A,2017-2018
Man United,Newcastle,4,1,H,2017-2018
Watford,West Ham,2,0,H,2017-2018
Brighton,Stoke,2,2,D,2017-2018
West Ham,Leicester,1,1,D,2017-2018
Crystal Palace,Stoke,2,1,H,2017-2018
Man United,Brighton,1,0,H,2017-2018
Newcastle,Watford,0,3,A,2017-2018
Swansea,Bournemouth,0,0,D,2017-2018
Tottenham,West Brom,1,1,D,2017-2018
Liverpool,Chelsea,1,1,D,2017-2018
Southampton,Everton,4,1,H,2017-2018
Burnley,Arsenal,0,1,A,2017-2018
Huddersfield,Man City,1,2,A,2017-2018
Brighton,Crystal Palace,0,0,D,2017-2018
Leicester,Tottenham,2,1,H,2017-2018
Watford,Man United,2,4,A,2017-2018
West Brom,Newcastle,2,2,D,2017-2018
Arsenal,Huddersfield,5,0,H,2017-2018
Bournemouth,Burnley,1,2,A,2017-2018
Chelsea,Swansea,1,0,H,2017-2018
Everton,West Ham,4,0,H,2017-2018
Man City,Southampton,2,1,H,2017-2018
Stoke,Liverpool,0,3,A,2017-2018
Chelsea,Newcastle,3,1,H,2017-2018
Brighton,Liverpool,1,5,A,2017-2018
Everton,Huddersfield,2,0,H,2017-2018
Leicester,Burnley,1,0,H,2017-2018
Stoke,Swansea,2,1,H,2017-2018
Watford,Tottenham,1,1,D,2017-2018
West Brom,Crystal Palace,0,0,D,2017-2018
Arsenal,Man United,1,3,A,2017-2018
Bournemouth,Southampton,1,1,D,2017-2018
Man City,West Ham,2,1,H,2017-2018
West Ham,Chelsea,1,0,H,2017-2018
Burnley,Watford,1,0,H,2017-2018
Crystal Palace,Bournemouth,2,2,D,2017-2018
Huddersfield,Brighton,2,0,H,2017-2018
Swansea,West Brom,1,0,H,2017-2018
Tottenham,Stoke,5,1,H,2017-2018
Newcastle,Leicester,2,3,A,2017-2018
Southampton,Arsenal,1,1,D,2017-2018
Liverpool,Everton,1,1,D,2017-2018
Man United,Man City,1,2,A,2017-2018
Burnley,Stoke,1,0,H,2017-2018
Crystal Palace,Watford,2,1,H,2017-2018
Huddersfield,Chelsea,1,3,A,2017-2018
Newcastle,Everton,0,1,A,2017-2018
Southampton,Leicester,1,4,A,2017-2018
Swansea,Man City,0,4,A,2017-2018
Liverpool,West Brom,0,0,D,2017-2018
Man United,Bournemouth,1,0,H,2017-2018
Tottenham,Brighton,2,0,H,2017-2018
West Ham,Arsenal,0,0,D,2017-2018
Leicester,Crystal Palace,0,3,A,2017-2018
Arsenal,Newcastle,1,0,H,2017-2018
Brighton,Burnley,0,0,D,2017-2018
Chelsea,Southampton,1,0,H,2017-2018
Watford,Huddersfield,1,4,A,2017-2018
Stoke,West Ham,0,3,A,2017-2018
Man City,Tottenham,4,1,H,2017-2018
West Brom,Man United,1,2,A,2017-2018
Bournemouth,Liverpool,0,4,A,2017-2018
Everton,Swansea,3,1,H,2017-2018
Arsenal,Liverpool,3,3,D,2017-2018
Everton,Chelsea,0,0,D,2017-2018
Brighton,Watford,1,0,H,2017-2018
Man City,Bournemouth,4,0,H,2017-2018
Southampton,Huddersfield,1,1,D,2017-2018
Stoke,West Brom,3,1,H,2017-2018
Swansea,Crystal Palace,1,1,D,2017-2018
West Ham,Newcastle,2,3,A,2017-2018
Burnley,Tottenham,0,3,A,2017-2018
Leicester,Man United,2,2,D,2017-2018
Tottenham,Southampton,5,2,H,2017-2018
Bournemouth,West Ham,3,3,D,2017-2018
Chelsea,Brighton,2,0,H,2017-2018
Huddersfield,Stoke,1,1,D,2017-2018
Man United,Burnley,2,2,D,2017-2018
Watford,Leicester,2,1,H,2017-2018
West Brom,Everton,0,0,D,2017-2018
Liverpool,Swansea,5,0,H,2017-2018
Newcastle,Man City,0,1,A,2017-2018
Crystal Palace,Arsenal,2,3,A,2017-2018
Bournemouth,Everton,2,1,H,2017-2018
Chelsea,Stoke,5,0,H,2017-2018
Huddersfield,Burnley,0,0,D,2017-2018
Liverpool,Leicester,2,1,H,2017-2018
Newcastle,Brighton,0,0,D,2017-2018
Watford,Swansea,1,2,A,2017-2018
Man United,Southampton,0,0,D,2017-2018
Crystal Palace,Man City,0,0,D,2017-2018
West Brom,Arsenal,1,1,D,2017-2018
Brighton,Bournemouth,2,2,D,2017-2018
Burnley,Liverpool,1,2,A,2017-2018
Leicester,Huddersfield,3,0,H,2017-2018
Stoke,Newcastle,0,1,A,2017-2018
Everton,Man United,0,2,A,2017-2018
Southampton,Crystal Palace,1,2,A,2017-2018
Swansea,Tottenham,0,2,A,2017-2018
West Ham,West Brom,2,1,H,2017-2018
Man City,Watford,3,1,H,2017-2018
Arsenal,Chelsea,2,2,D,2017-2018
Tottenham,West Ham,1,1,D,2017-2018
Chelsea,Leicester,0,0,D,2017-2018
Crystal Palace,Burnley,1,0,H,2017-2018
Huddersfield,West Ham,1,4,A,2017-2018
Newcastle,Swansea,1,1,D,2017-2018
Watford,Southampton,2,2,D,2017-2018
West Brom,Brighton,2,0,H,2017-2018
Tottenham,Everton,4,0,H,2017-2018
Bournemouth,Arsenal,2,1,H,2017-2018
Liverpool,Man City,4,3,H,2017-2018
Man United,Stoke,3,0,H,2017-2018
Brighton,Chelsea,0,4,A,2017-2018
Arsenal,Crystal Palace,4,1,H,2017-2018
Burnley,Man United,0,1,A,2017-2018
Everton,West Brom,1,1,D,2017-2018
Leicester,Watford,2,0,H,2017-2018
Stoke,Huddersfield,2,0,H,2017-2018
West Ham,Bournemouth,1,1,D,2017-2018
Man City,Newcastle,3,1,H,2017-2018
Southampton,Tottenham,1,1,D,2017-2018
Swansea,Liverpool,1,0,H,2017-2018
Swansea,Arsenal,3,1,H,2017-2018
West Ham,Crystal Palace,1,1,D,2017-2018
Huddersfield,Liverpool,0,3,A,2017-2018
Chelsea,Bournemouth,0,3,A,2017-2018
Everton,Leicester,2,1,H,2017-2018
Newcastle,Burnley,1,1,D,2017-2018
Southampton,Brighton,1,1,D,2017-2018
Man City,West Brom,3,0,H,2017-2018
Stoke,Watford,0,0,D,2017-2018
Tottenham,Man United,2,0,H,2017-2018
Burnley,Man City,1,1,D,2017-2018
Bournemouth,Stoke,2,1,H,2017-2018
Brighton,West Ham,3,1,H,2017-2018
Leicester,Swansea,1,1,D,2017-2018
Man United,Huddersfield,2,0,H,2017-2018
West Brom,Southampton,2,3,A,2017-2018
Arsenal,Everton,5,1,H,2017-2018
Crystal Palace,Newcastle,1,1,D,2017-2018
Liverpool,Tottenham,2,2,D,2017-2018
Watford,Chelsea,4,1,H,2017-2018
Tottenham,Arsenal,1,0,H,2017-2018
Everton,Crystal Palace,3,1,H,2017-2018
Stoke,Brighton,1,1,D,2017-2018
Swansea,Burnley,1,0,H,2017-2018
West Ham,Watford,2,0,H,2017-2018
Man City,Leicester,5,1,H,2017-2018
Huddersfield,Bournemouth,4,1,H,2017-2018
Newcastle,Man United,1,0,H,2017-2018
Southampton,Liverpool,0,2,A,2017-2018
Chelsea,West Brom,3,0,H,2017-2018
Leicester,Stoke,1,1,D,2017-2018
Bournemouth,Newcastle,2,2,D,2017-2018
Brighton,Swansea,4,1,H,2017-2018
Burnley,Southampton,1,1,D,2017-2018
Liverpool,West Ham,4,1,H,2017-2018
West Brom,Huddersfield,1,2,A,2017-2018
Watford,Everton,1,0,H,2017-2018
Crystal Palace,Tottenham,0,1,A,2017-2018
Man United,Chelsea,2,1,H,2017-2018
Arsenal,Man City,0,3,A,2017-2018
Burnley,Everton,2,1,H,2017-2018
Leicester,Bournemouth,1,1,D,2017-2018
Southampton,Stoke,0,0,D,2017-2018
Swansea,West Ham,4,1,H,2017-2018
Tottenham,Huddersfield,2,0,H,2017-2018
Watford,West Brom,1,0,H,2017-2018
Liverpool,Newcastle,2,0,H,2017-2018
Brighton,Arsenal,2,1,H,2017-2018
Man City,Chelsea,1,0,H,2017-2018
Crystal Palace,Man United,2,3,A,2017-2018
Man United,Liverpool,2,1,H,2017-2018
Everton,Brighton,2,0,H,2017-2018
Huddersfield,Swansea,0,0,D,2017-2018
Newcastle,Southampton,3,0,H,2017-2018
West Brom,Leicester,1,4,A,2017-2018
West Ham,Burnley,0,3,A,2017-2018
Chelsea,Crystal Palace,2,1,H,2017-2018
Arsenal,Watford,3,0,H,2017-2018
Bournemouth,Tottenham,1,4,A,2017-2018
Stoke,Man City,0,2,A,2017-2018
Bournemouth,West Brom,2,1,H,2017-2018
Huddersfield,Crystal Palace,0,2,A,2017-2018
Stoke,Everton,1,2,A,2017-2018
Liverpool,Watford,5,0,H,2017-2018
Crystal Palace,Liverpool,1,2,A,2017-2018
Brighton,Leicester,0,2,A,2017-2018
Man United,Swansea,2,0,H,2017-2018
Newcastle,Huddersfield,1,0,H,2017-2018
Watford,Bournemouth,2,2,D,2017-2018
West Brom,Burnley,1,2,A,2017-2018
West Ham,Southampton,3,0,H,2017-2018
Everton,Man City,1,3,A,2017-2018
Arsenal,Stoke,3,0,H,2017-2018
Chelsea,Tottenham,1,3,A,2017-2018
Everton,Liverpool,0,0,D,2017-2018
Bournemouth,Crystal Palace,2,2,D,2017-2018
Brighton,Huddersfield,1,1,D,2017-2018
Leicester,Newcastle,1,2,A,2017-2018
Stoke,Tottenham,1,2,A,2017-2018
Watford,Burnley,1,2,A,2017-2018
West Brom,Swansea,1,1,D,2017-2018
Man City,Man United,2,3,A,2017-2018
Arsenal,Southampton,3,2,H,2017-2018
Chelsea,West Ham,1,1,D,2017-2018
Southampton,Chelsea,2,3,A,2017-2018
Burnley,Leicester,2,1,H,2017-2018
Crystal Palace,Brighton,3,2,H,2017-2018
Huddersfield,Watford,1,0,H,2017-2018
Swansea,Everton,1,1,D,2017-2018
Liverpool,Bournemouth,3,0,H,2017-2018
Tottenham,Man City,1,3,A,2017-2018
Newcastle,Arsenal,2,1,H,2017-2018
Man United,West Brom,0,1,A,2017-2018
West Ham,Stoke,1,1,D,2017-2018
Brighton,Tottenham,1,1,D,2017-2018
Bournemouth,Man United,0,2,A,2017-2018
Burnley,Chelsea,1,2,A,2017-2018
Leicester,Southampton,0,0,D,2017-2018
West Brom,Liverpool,2,2,D,2017-2018
Watford,Crystal Palace,0,0,D,2017-2018
Arsenal,West Ham,4,1,H,2017-2018
Stoke,Burnley,1,1,D,2017-2018
Man City,Swansea,5,0,H,2017-2018
Everton,Newcastle,1,0,H,2017-2018
Liverpool,Stoke,0,0,D,2017-2018
Burnley,Brighton,0,0,D,2017-2018
Crystal Palace,Leicester,5,0,H,2017-2018
Huddersfield,Everton,0,2,A,2017-2018
Newcastle,West Brom,0,1,A,2017-2018
Southampton,Bournemouth,2,1,H,2017-2018
Swansea,Chelsea,0,1,A,2017-2018
West Ham,Man City,1,4,A,2017-2018
Man United,Arsenal,2,1,H,2017-2018
Tottenham,Watford,2,0,H,2017-2018
Brighton,Man United,1,0,H,2017-2018
Stoke,Crystal Palace,1,2,A,2017-2018
Bournemouth,Swansea,1,0,H,2017-2018
Leicester,West Ham,0,2,A,2017-2018
Watford,Newcastle,2,1,H,2017-2018
West Brom,Tottenham,1,0,H,2017-2018
Everton,Southampton,1,1,D,2017-2018
Man City,Huddersfield,0,0,D,2017-2018
Arsenal,Burnley,5,0,H,2017-2018
Chelsea,Liverpool,1,0,H,2017-2018
Swansea,Southampton,0,1,A,2017-2018
Chelsea,Huddersfield,1,1,D,2017-2018
Leicester,Arsenal,3,1,H,2017-2018
Man City,Brighton,3,1,H,2017-2018
Tottenham,Newcastle,1,0,H,2017-2018
West Ham,Man United,0,0,D,2017-2018
Burnley,Bournemouth,1,2,A,2017-2018
Crystal Palace,West Brom,2,0,H,2017-2018
Huddersfield,Arsenal,0,1,A,2017-2018
Liverpool,Brighton,4,0,H,2017-2018
Man United,Watford,1,0,H,2017-2018
Newcastle,Chelsea,3,0,H,2017-2018
Southampton,Man City,0,1,A,2017-2018
Swansea,Stoke,1,2,A,2017-2018
Tottenham,Leicester,5,4,H,2017-2018
West Ham,Everton,3,1,H,2017-2018
